Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
251.1,1.036927,0.611440,-0.606284,-0.670017,0.695151,-1.516074,-0.332622,-0.631047,0.069877,0.211127,0.036788,1.134848,0.228063,-0.314992,-1.210855,0.721850,0.528147,1.450810,-0.747455,0.026418,-0.058693,-0.087611,0.010390,-1.714539,0.824986,0.653206,1.130473,2.249574,20.88,0
259.0,-1.731220,0.485768,-1.470831,-2.581571,-2.020833,-1.381769,1.069025,-0.868360,-0.227458,-1.163513,0.610950,-1.101962,1.317652,-0.993105,-0.764827,0.122741,0.024711,1.424690,0.120407,-1.207834,-0.560335,-0.572784,0.725042,0.383793,-0.119391,0.869607,-0.528496,-0.136234,3.29,0
280.3,-1.045837,0.686052,-0.587645,0.343685,-1.901610,1.043187,-1.331938,-0.777342,1.058581,-1.334471,-0.079455,0.074256,-0.998557,1.342933,1.498778,-1.971618,-1.448990,0.808232,-1.303024,-0.388637,0.129552,0.691850,-0.223253,0.095221,-0.776733,1.292362,-0.495314,0.339733,18.60,0
299.2,-1.013781,0.796413,1.414042,0.243148,0.732335,0.838068,0.927986,0.303357,0.212257,0.864007,0.068832,-0.973918,0.023848,-1.888415,-0.005900,0.413372,1.235981,0.151277,0.928140,-0.000538,-1.023476,-1.411380,-0.969734,-1.366148,0.633708,-0.207615,0.570315,0.073431,1.96,0
316.3,-0.532829,-1.621312,0.675217,1.188795,-0.006428,-0.493192,1.090905,-2.344962,0.177475,0.143284,-0.570857,1.391575,0.970735,-0.261157,-0.086696,-0.388024,-0.512120,-1.308200,1.379948,1.028000,0.798166,-1.094336,2.080845,1.980165,0.188057,-0.904221,-0.866430,0.418549,20.46,0
341.9,2.005729,1.566708,-1.237086,-1.413641,-0.283422,-1.031143,-0.263721,-2.581186,-0.228702,1.802856,-1.116595,-0.273069,-1.489609,0.638238,-0.225319,1.940733,0.206839,-0.372180,0.550272,-0.506228,-1.339308,0.301948,-0.174869,0.166315,0.375457,-0.510320,0.421576,1.737697,1.29,0
363.1,2.427221,0.155022,1.370403,0.817594,-1.680595,0.120820,-0.525320,-1.341793,-1.771711,0.102290,0.590253,0.390668,-0.305829,-0.798517,-0.986861,-0.555161,-1.033055,-0.203275,-0.022887,-0.895988,-0.232050,-0.760320,-0.004472,0.507088,0.178125,0.472151,-1.652015,-0.378696,8.78,0
377.8,1.206421,-0.178611,-0.094758,0.450457,0.247118,0.674637,0.072414,0.152496,-0.782444,-0.170438,1.253122,-0.204170,-0.168564,-0.491503,0.787186,-0.854679,0.910502,-0.936973,-1.057781,0.205939,0.130179,0.297557,1.062537,-0.412496,0.442994,-0.909817,1.259169,0.632459,24.19,0
407.7,0.123745,-1.359820,0.181094,-0.691927,-1.083337,-0.154685,-1.856504,0.698570,0.852013,-0.053436,-0.993782,-0.945369,-0.151123,-2.423734,0.180477,0.664432,-0.311895,-0.494402,0.181967,0.350644,1.094152,0.018397,-0.689758,-0.461265,0.181946,1.556200,-0.320273,-1.052527,97.55,0
427.7,-1.117988,0.568414,-1.311354,-1.749642,0.178263,-0.341171,0.432190,0.740560,-0.008499,-1.297761,-0.123800,0.500259,-0.582989,-1.437461,1.102612,-0.415248,-0.409230,0.015962,1.030472,0.263620,-0.333226,0.682133,2.147024,1.387786,0.672871,-1.122280,3.752059,-1.198657,32.64,0
429.4,-1.427125,0.267587,0.546906,-0.318483,-1.220190,-0.725033,-0.436849,0.022732,-0.519910,0.735220,-0.949947,-1.731387,-0.739393,1.348891,-0.573156,2.340809,0.491484,-1.164426,-0.834286,0.243372,-1.177644,2.374579,-0.990891,0.680943,1.460130,-0.109200,-0.995861,-0.273066,7.33,0
452.2,0.042324,-0.673358,-2.183236,-0.697560,-1.432451,0.586854,1.944165,1.858754,-0.573209,-0.467394,0.688782,1.061286,-0.418739,-0.142636,2.206929,-0.107452,-0.485321,0.119914,0.579702,-1.021642,-0.248403,-1.166361,-0.278264,1.876925,0.741722,-0.092543,-0.933112,-0.311408,117.45,0
478.6,-0.290046,1.742764,-2.007839,1.188413,-1.851377,-0.090080,-0.172535,0.824293,-3.154543,-1.917810,-0.566016,0.036895,-0.893217,-0.220867,-1.186173,-0.401273,-0.846766,0.244021,0.581420,1.432930,-0.656419,-0.317992,0.047745,-0.294919,-0.051991,-1.562179,0.371755,-0.915192,131.62,0
508.0,1.149492,0.272302,-1.703361,-1.083696,0.757932,-0.765683,-1.090344,-0.179379,-0.176967,-1.011867,-0.326145,-0.478493,-2.589990,0.502664,-0.811375,1.304439,-1.150124,-1.579598,1.187624,-1.585055,-0.636174,0.597337,-0.329646,-1.655472,0.188035,-0.194323,1.283855,0.588648,49.28,0
511.5,0.754038,-0.777332,-0.745152,-2.029680,1.709500,0.508219,-0.260860,0.933515,0.750916,0.975264,-1.623537,-0.713836,0.195442,0.355421,0.957235,-1.008636,0.127209,2.205354,0.691922,0.870563,-0.019187,0.767627,1.803990,0.106642,1.223978,-0.875139,0.590099,0.904217,9.29,0
530.8,-0.001192,1.931990,0.309153,0.935785,-0.731798,0.077497,-1.176556,-0.571106,0.835641,-0.038397,1.451296,-0.202416,-0.197936,1.276682,-0.648617,-1.519765,1.301277,0.414188,-2.165195,0.044529,-0.403787,1.744840,-0.728991,-0.580768,-0.910401,-1.054056,-0.700496,-1.435924,152.48,0
549.8,-0.521159,-0.683689,-1.226470,0.478271,-0.048076,-0.431976,-0.463973,1.592880,0.239814,0.475378,-2.586040,-0.653734,-2.171007,-0.426204,0.373310,-0.674298,0.518609,-1.022750,0.575803,-1.553609,-0.261688,0.419807,0.535921,-0.127263,1.939714,-0.414420,-0.450996,-2.759507,5.37,0
550.7,-1.434922,0.418976,-0.621392,-1.170772,1.043372,-2.132592,0.567163,0.459355,2.051011,0.325174,-2.058431,-0.836121,0.064667,0.355564,0.980816,-1.959676,-0.329950,0.969861,1.543970,1.861024,-0.390219,1.097605,1.711712,1.198070,0.723685,0.827797,-0.789884,-1.447250,97.57,0
573.1,-0.392907,0.232749,-1.021859,0.068500,0.246055,-0.077355,-0.743630,0.786620,1.872637,-0.601243,1.234463,0.889264,-2.653252,-0.761194,-0.635840,0.781772,0.188488,0.474398,0.636279,-0.898917,-0.746550,-1.222889,-0.170271,-0.119103,0.171205,-0.727308,0.906525,0.917111,9.31,0
599.3,1.289385,1.718518,1.976953,0.035226,0.324270,0.416359,-0.002546,0.619289,-0.121180,-0.193783,1.758982,0.164715,0.067010,0.882019,0.150333,0.291622,-0.063564,-1.220416,-0.030972,-1.136885,0.210151,-1.181438,0.916709,0.749235,0.280428,-0.100134,0.416301,-1.964998,21.79,0
628.2,-1.004610,0.133446,-0.453700,-1.068597,0.329502,-0.209978,1.196483,0.665532,0.734671,0.321667,-0.845178,-0.935627,-1.471158,2.879012,-1.079445,-0.209832,-0.360389,-0.281098,-0.584051,-1.868345,-0.998194,-1.390670,-0.126780,-0.684199,-0.687180,0.215879,-0.582785,0.932094,16.59,0
641.3,-0.405183,0.408758,0.330005,-0.173443,0.217439,-0.385296,1.346110,0.934289,0.482494,-1.180140,-1.099306,-0.663862,-0.245003,0.448016,-0.896538,1.177074,0.003595,-2.012782,-0.475317,-2.585185,-0.751729,-0.549128,-0.610410,-0.325254,-0.394102,-0.593734,1.502497,1.214902,6.37,0
658.8,1.525193,-2.239553,0.574786,-1.253494,-0.144000,-0.180203,1.697204,-0.810603,-0.069015,0.627020,-0.251777,-0.822067,-0.059200,0.093511,0.884055,-0.943052,-0.449131,0.322943,-0.167167,-0.185280,-0.017003,-0.695839,-0.799690,0.440730,-1.095100,1.165384,0.217305,-1.276541,3.17,0
679.1,-0.605982,-0.981088,-0.746442,0.284502,0.015266,-0.491357,-0.738256,0.347886,-0.501599,-1.040157,-0.151675,-0.264494,-1.070041,0.827176,0.846012,0.040894,0.131040,0.527308,-0.030922,0.891292,1.656008,0.080493,0.440253,0.873452,-0.338043,-1.128305,0.906001,-1.568764,28.95,0
700.6,0.153861,0.135945,-0.813857,1.603053,-1.392074,-1.276723,0.376120,-0.207483,0.417727,-0.618971,-1.033340,-0.645543,-0.683595,0.524996,-0.479958,0.761430,0.588075,1.040596,0.900719,0.784353,0.769853,-0.516692,-0.261884,-1.830127,0.291751,-0.673766,0.401545,0.527484,48.38,0
720.4,0.167020,-1.155424,0.047178,-1.688486,-2.155110,0.716664,-1.305313,-0.559918,-1.417363,-1.408871,-0.398857,-0.410128,0.982587,0.449512,-0.261119,0.757684,1.116554,0.411298,-0.406316,1.018603,1.768522,0.660534,1.770677,0.926599,0.848859,-1.090186,-1.113549,-0.049483,34.37,0
747.3,0.533191,-1.351251,-0.493641,1.023440,0.208512,0.290283,1.704724,1.296804,-0.876857,1.317899,-0.615244,-0.017590,0.015213,1.073040,-1.129267,0.451861,0.524015,0.811513,-0.210386,1.003412,-0.711544,1.147059,0.352240,-1.400083,0.407920,0.179305,-0.355656,-0.736254,76.79,0
774.6,-0.661283,1.144899,0.585031,0.720245,1.516708,-0.312143,-1.046495,0.844268,0.796278,-0.326889,-1.265580,1.239151,0.575847,-1.373474,0.779954,-1.440977,-0.482630,-1.123309,-0.637831,-0.833311,-0.613311,0.724264,0.294591,0.628732,1.092342,-0.372703,0.079895,0.538153,4.78,0
797.7,-0.425274,0.416181,0.839976,-1.497786,0.218104,-0.560687,-0.950803,0.392622,-0.328718,-0.659037,-0.769165,0.281299,-0.010038,-1.091640,-0.840998,-0.182506,0.405148,-1.049715,0.488107,-0.824003,2.727745,-0.941003,-0.790126,0.194003,-0.902381,0.827631,1.801416,-0.387620,41.26,0
805.6,0.894246,-0.904225,1.545904,1.162061,0.486368,-0.659217,0.065708,-0.795466,0.467606,-0.316471,-2.234962,0.926203,0.191453,1.078483,-0.136180,0.188467,1.115326,0.387797,0.288002,3.214391,-0.169000,0.169186,1.734029,-0.805008,-1.040997,-1.432066,0.533662,0.625631,187.47,0
810.2,-0.097311,0.032566,0.675596,0.367144,0.641970,-1.086086,-0.174622,-1.212473,0.631277,0.530216,-0.098815,0.296799,-1.556516,0.857925,-0.467271,0.129051,1.115370,-0.756501,1.197234,0.124075,0.028190,0.556046,-1.247026,0.594106,0.061509,1.036277,-0.216807,-0.363317,22.40,0
839.8,-0.870460,0.715937,-1.853444,-2.120267,-0.004150,0.180925,0.220399,-0.892783,-0.150500,-1.398733,0.219562,-1.615319,-0.149243,0.261579,-1.756626,-0.522503,0.788146,1.548968,-1.503960,0.339918,-1.235949,-1.345258,1.596074,0.668182,-0.804194,0.219028,0.641946,0.181293,369.26,0
856.3,0.013466,-0.651143,-1.084918,1.363405,0.597342,-0.670739,0.679650,0.675181,1.267307,-1.055313,0.779882,-0.607788,1.155045,-0.192449,-2.271779,0.035354,-1.784163,-0.217149,-0.058192,-0.401305,-1.486920,-1.115729,-0.844591,-0.248109,1.288500,0.709085,-0.472195,1.273878,12.30,0
867.2,0.638462,-0.679575,0.801158,-0.009310,2.411799,-0.304261,1.269175,0.647090,-1.174126,1.360622,-1.060411,-2.231995,0.853316,1.068953,0.052026,-0.261019,1.583682,0.711868,-0.655866,0.731533,-1.243292,-0.558968,-1.051130,-2.200017,-1.177293,1.222328,-1.097822,-0.550032,11.03,0
875.1,-0.105687,-1.171027,-0.973943,0.837266,-0.057407,0.774402,-3.162596,1.110109,-0.493967,2.172857,-0.510755,0.028269,0.660378,-0.875795,0.872738,-0.645216,1.289103,0.793206,0.495637,-0.724194,-0.210571,0.299912,-2.033343,-0.551749,0.938074,-1.268181,1.278978,-0.628315,68.77,0
879.1,1.136374,1.354070,1.253524,0.208919,-1.226164,1.323765,-1.304135,-0.438710,0.737109,0.443558,1.593065,-0.004053,-1.690069,-0.275258,0.174060,-0.350609,1.412454,-0.247613,-1.435847,0.466789,-1.147685,1.699892,0.270094,-1.403284,1.079392,2.369247,-2.004056,0.903074,8.54,0
889.2,-1.349524,1.958563,1.527687,-1.186135,-0.005400,1.419859,-0.490994,-0.162409,-0.402377,1.167473,-0.607683,-0.009826,0.540215,-0.207602,-0.866432,-1.341549,-1.518256,-1.179804,-1.720550,-0.726877,0.300215,0.054095,-0.826633,-1.018019,-0.993389,-1.387898,-1.235878,0.714362,19.87,0
898.2,-1.796928,0.193301,-0.333751,-0.771130,0.315213,0.155585,-1.068905,0.426277,0.389169,1.309470,-0.609971,1.470444,-0.196817,-1.976012,0.523096,-0.081590,-0.882351,0.933240,-0.471628,1.016886,-0.082701,0.750322,0.679478,0.473168,-1.032043,0.919713,0.021762,2.002261,7.09,0
915.7,0.096718,-1.170476,-1.170277,-0.108583,-0.077871,0.202075,1.117104,-0.400337,0.680876,-0.144635,-0.194012,0.257068,-2.067728,0.066357,-0.638257,-0.929839,-1.886991,-0.442891,-1.877436,0.870123,-0.239307,-1.682072,-0.673525,0.754954,-0.594883,-0.281218,-0.369183,-0.128276,20.85,0
924.5,-0.213008,-0.455625,0.988477,-0.156032,0.253342,-0.874116,1.555228,-0.627675,0.375350,1.132358,-0.304505,-0.000149,0.586513,0.682682,-1.090098,0.181483,-0.945369,-0.745370,-0.648391,1.215978,1.596577,2.605453,-0.056550,-0.841407,-0.969482,1.607481,-1.538378,-0.316969,2.14,0
935.9,1.313353,-0.166770,0.465495,-1.538714,-0.088208,-0.215027,-2.579583,0.415377,0.355166,-1.693376,-1.412276,-0.749289,-0.529182,-0.306366,-0.958124,-1.007857,0.306513,-0.475248,-0.106801,-0.229680,0.457200,-0.154275,0.861539,0.102999,0.889034,1.247082,-1.460475,0.921995,33.71,0
940.4,-0.669296,1.312557,-0.856681,-0.138319,1.023592,1.953438,-0.512655,0.782295,0.220042,-1.582444,-0.955188,-1.204771,-0.503317,-0.416788,0.027949,1.277694,0.422476,2.653063,-0.243428,0.789253,0.414412,1.506567,-0.378716,0.845258,1.629073,-0.720813,-0.074872,0.504306,36.10,0
969.9,1.734093,-0.508425,-0.207089,0.797139,-0.206019,-0.898868,-0.719911,0.272672,-0.666114,0.088068,-2.257286,-0.558122,-0.180312,-0.512642,-0.993587,-0.883505,0.070521,1.487060,-1.398426,-0.276260,0.977050,0.334458,-0.093757,-0.450713,0.013262,-0.101064,-2.186462,-0.715783,1.05,0
996.3,0.804878,2.448647,-0.623076,1.299275,0.362505,-0.236699,-1.105911,-0.555925,-0.394913,-2.315776,0.530462,-0.321731,0.459244,-0.419227,2.998273,-1.657285,-0.933059,0.705205,2.358468,-0.992419,1.829215,-0.917029,1.293367,0.075395,2.229999,1.781985,-0.647723,2.935701,23.95,0
1024.5,-0.641351,0.130630,0.452487,0.387182,-0.745697,0.196894,0.637425,1.503991,0.328160,-1.252979,0.028417,-0.620594,1.319031,-1.675422,0.559733,-1.065396,1.272057,0.771162,0.219331,0.504939,-0.336880,0.675777,-0.049627,0.731204,0.058576,-2.481191,-0.513658,1.517492,30.67,0
1028.4,-0.979092,0.661650,1.232897,-0.954865,-0.186841,0.463565,0.722753,-0.420535,-0.528678,-0.463885,0.385233,0.429119,-0.019418,-1.364224,-1.089987,0.636824,-1.221088,0.226357,-0.360798,-0.602229,0.026698,1.676352,0.288817,-0.295666,-1.473372,0.512238,1.136703,0.607376,2.73,0
1043.9,0.524868,0.721012,-0.493076,-0.063365,0.365870,1.271293,1.005239,0.646318,0.396223,-1.025281,-1.100960,-0.091855,1.041583,0.395353,0.561096,-1.501556,-1.461654,1.119884,-0.034638,-1.313688,0.882167,0.258036,2.951464,1.250000,0.346697,-0.151110,0.232296,-0.102652,8.92,0
1066.9,-0.635523,-0.828742,0.980890,-0.044055,1.487407,-1.591520,-1.075786,1.067095,-0.655221,-1.058632,-0.526671,-0.759824,0.539328,1.118168,-1.586919,-0.290776,0.014244,0.082194,0.833256,0.119847,-0.579803,-1.111894,-1.824709,-0.371112,0.014410,0.921725,-0.377769,2.323704,33.86,0
1091.3,0.208908,-2.064097,0.676094,0.066679,0.210571,0.154809,-1.273756,-0.898621,1.566425,0.494598,-0.597263,0.421081,0.407711,1.954484,1.110351,0.411169,-0.449185,1.783690,-0.101549,-0.870512,-1.220246,-0.862397,-0.364085,0.765401,0.913185,1.151070,0.152977,0.831493,31.59,0
1106.4,1.392449,-0.535317,0.195442,-0.854054,-0.491728,0.285310,-1.195776,1.174033,-1.918759,0.322234,-0.491482,1.489145,0.761845,-2.084159,-2.422397,-1.001356,-0.502226,-0.189007,0.030245,0.673596,-1.365991,-1.800547,0.252461,-0.360981,-0.103373,-0.641830,-0.173209,1.486507,107.40,0
1112.5,-0.205649,-1.262716,-2.001120,0.260542,-1.249354,2.175579,2.341604,0.226301,0.485462,-0.117913,1.141796,-0.003070,0.063357,1.360403,0.626183,2.130981,-1.636830,-0.555582,-0.903906,0.841779,-0.493590,0.602332,-1.168988,-0.094341,2.296995,1.638368,-1.878532,0.364586,77.90,0
1125.2,0.100825,0.552541,-0.158051,2.331165,-0.913841,-0.495999,0.514885,0.731742,-1.378714,1.297313,-1.458118,0.006400,-0.307027,-0.707625,1.133250,-2.347053,-0.730783,-0.902764,0.874897,1.550421,0.775469,1.395285,-2.224554,0.163600,-1.383033,-0.374965,0.244672,0.094625,87.31,0
1137.9,0.182419,1.556614,1.185206,0.068150,-0.969616,0.991792,-0.691603,-1.199424,-1.150410,0.121857,1.265530,0.052609,1.224429,0.091342,-0.426449,2.721174,1.821045,0.196907,-0.832195,-1.609029,0.401358,-0.255512,0.467001,0.323041,0.436276,1.142228,0.314220,-0.723444,14.32,0
1150.4,0.714193,-0.043883,-0.781423,-1.776339,-1.123965,-1.625930,0.026671,-0.442288,-0.920662,0.872605,0.129328,0.047587,0.558117,1.036452,-1.602824,0.706680,-1.808937,-0.794384,1.012146,0.691222,0.664741,0.182085,1.412977,-1.540801,-0.305155,0.047349,2.035285,1.026550,132.06,0
1151.8,-1.005924,2.345359,-1.426908,-0.868700,-0.234001,-0.980420,0.527211,0.276763,0.113508,1.893807,-1.633969,1.366386,-0.824652,1.462164,1.905214,2.301553,-0.190514,-1.163259,0.327926,-0.053369,-1.762849,0.735545,-0.922678,1.442009,0.965164,-0.281337,0.036164,-0.242567,19.49,0
1180.1,-0.628543,-1.329101,1.192035,0.712003,0.469934,-1.508796,0.503583,0.285304,-0.338064,-1.376741,-0.056683,-0.870842,0.080035,0.063340,-0.338158,0.882023,-0.066051,0.529087,0.418402,1.008173,-0.964060,-0.345305,0.921995,0.153533,1.125805,0.745243,-0.444680,0.880511,9.97,0
1183.1,2.289501,-1.551582,-0.548375,-0.266345,-0.400291,0.372448,-0.368109,1.106107,0.984760,0.413473,-1.012213,0.547374,0.674290,0.353885,0.030007,1.400335,-0.548381,-0.366697,0.667056,0.530791,0.852598,-0.284011,-1.314706,-1.237582,-0.432673,0.792425,0.792264,-1.815911,8.18,0
1212.0,-0.396790,1.489016,-1.307671,0.073966,0.046215,0.970181,0.405391,-0.913180,0.972246,0.845149,-1.051004,-0.687803,-0.525807,-1.149340,1.064667,-0.323843,-0.277830,-1.037756,-0.394539,1.484952,0.748288,-1.617397,-0.989707,0.635601,-0.498122,-0.553240,-0.860492,-1.331069,38.19,0
1241.8,-0.965171,0.693806,1.346147,-0.735737,-1.702576,-0.478966,-1.349910,1.641618,-1.387745,-0.327695,1.473522,0.871213,-0.513661,-0.783064,-0.181497,-0.240155,1.496399,-0.154665,-1.349970,0.985773,1.036533,-0.226796,0.772125,0.051247,-1.206798,-0.081075,-1.144678,-0.634155,16.72,0
1265.0,-0.919855,-0.002692,0.464368,0.072241,-2.206795,1.286905,1.772312,1.583793,0.544104,0.671986,-0.654192,0.188579,-1.130629,0.121760,-1.429693,0.585202,-0.354556,0.767069,0.182574,-0.459559,0.843326,-1.173405,-0.264852,-0.537544,0.743972,-0.075515,0.270019,0.525471,390.01,0
1272.4,0.572588,1.310766,-0.221624,0.100680,-0.499799,-0.435672,-0.830437,-0.543281,-0.190468,-0.651554,0.026575,-1.818634,0.427934,0.177457,0.446229,-0.463497,-0.508220,0.982361,-0.154504,1.986549,-1.406118,-0.247365,-1.127374,-0.786745,-0.789992,-0.480732,0.782842,-1.143894,180.69,0
1281.7,0.462043,0.272280,0.630106,0.575975,0.628006,1.403663,-1.038454,-0.070739,0.637269,0.749642,0.558058,1.306537,-0.500995,-1.349720,1.272387,-0.000803,-0.548686,0.035760,-0.432276,1.006208,0.890167,0.311733,0.540870,0.032608,1.026509,-2.363320,-1.168195,-0.039931,38.50,0
1306.9,0.217361,0.124290,0.057697,-0.829185,-0.193166,1.226937,0.543523,0.962839,-0.080082,-1.702283,-0.466468,-0.150678,1.301508,1.135954,0.424845,-0.856528,0.128447,-0.261731,-0.243508,-1.233522,0.463905,-0.029843,0.804382,-1.461626,-1.126982,3.646272,-0.880050,0.287583,64.23,0
1336.8,0.149480,1.818386,-0.791021,-0.487641,-0.345513,-1.372646,0.275839,0.473054,0.183320,0.655830,0.865654,0.338703,-0.241441,1.220417,-0.696664,1.396358,-0.192956,0.764803,1.826552,-2.264798,-0.192260,-0.403948,1.707387,-0.406822,2.729020,-1.527903,0.349506,-0.386302,54.84,0
1358.2,0.108174,-1.497922,-1.309669,0.086870,-0.121349,1.027090,-1.353130,0.421012,0.322500,-0.302371,-0.803635,-0.079092,0.883986,-0.373756,0.847295,-0.273808,1.724796,0.026804,-0.175542,-1.610828,-1.427152,0.381290,-0.227450,0.281277,-0.684642,-0.150438,-0.623695,0.295199,1.25,0
1368.7,-1.054493,-0.465332,-0.841544,1.259637,0.436989,0.137173,0.234455,-1.084368,1.402913,1.389529,-0.034300,0.013261,0.649136,-0.175254,-0.200177,-0.492804,-0.345891,-0.476060,0.729853,-0.328297,-0.428365,-0.626822,-1.499497,1.560182,0.508596,0.866501,-0.529898,1.457201,4.10,0
1390.0,-0.791932,0.116230,0.337476,5.739045,2.309569,0.134920,1.828558,-4.076477,-0.705439,-3.550519,4.830682,-3.238418,-0.084080,-4.830696,-1.199649,2.852941,-1.979994,1.961666,0.015909,-0.801704,0.832041,-0.036932,-0.192116,-0.037284,-0.949427,-1.307123,-0.363607,-2.078133,888.15,1
1415.8,1.348994,0.986137,-0.832599,-0.525262,0.845970,-0.198895,0.514017,0.619991,1.095933,0.641170,-1.106544,-0.804035,0.277226,-1.506182,0.845734,-1.197078,-0.385088,1.144678,-1.656973,-0.099259,-0.094559,0.321384,1.993078,-1.488382,-0.488872,0.015709,-1.342552,0.003521,273.40,0
1445.5,1.341316,1.464500,-0.867029,-0.397267,-0.693712,-1.547851,1.645619,-0.484236,0.371901,0.039142,-0.021807,0.284267,1.638955,0.654500,-1.406193,-0.058441,-1.036203,-0.006830,-0.123680,-0.395918,-1.347288,-0.315094,-0.147912,0.848516,-0.672316,-0.047835,0.442363,-1.158335,10.86,0
1470.6,1.417179,0.625093,-0.243134,-1.920568,0.396838,0.151111,-1.007263,0.439767,-0.666857,-0.543481,-0.085708,-1.640692,1.147401,1.069950,-0.179488,-0.570646,1.164123,-0.354002,0.328700,-1.563126,0.259678,0.451716,0.153746,-0.776145,1.298806,-1.124692,1.783406,0.332733,12.17,0
1492.1,0.975404,0.513081,-0.750793,0.906115,-0.874152,-0.390643,-0.014978,0.465792,-1.432182,-0.717447,0.161305,1.181478,1.917784,0.544618,0.038670,1.129128,-0.422963,0.382544,1.792194,-0.827441,-2.093796,-0.722232,-0.061119,-1.040935,-0.452385,0.933775,-0.147654,-0.781709,5.03,0
